"HolderAddress","Balance","PendingBalanceUpdate"
"0x03a6dd5a1f31d3b8a0c6b05b3752c334203dd2d6","69.121866912694446684","No"
"0x0c2405c6475e0e6165a9a66d04a87e78fa0a79ff","68.957202185288658277","No"
"0xca84e7ac68420705e70eeefc39bef0deea27fad5","67.816278296345405783","No"
"0xe97b346214a58f8673025574768ef1f7ee10ed48","66.814046542670515318","No"
"0x97e85c3b844f1b7ed2fce4109214da84a518644a","66.33399529577649754","No"
"0x6b11e69c6967e0c52d39591a307fdf441363cf77","66.090461798477383364","No"
"0x6a2f3a8cfe01590487c6ac70314b11b7b88c6d17","65.664174436714643896","No"
"0x0e3a84b87098683e57fbf62443dc8944ecded2e3","63.606649229256330925","No"
"0xba0608e2ecd747e14eecc5187b08ca9e4ddca188","62.719283460164607781","No"
"0x6be496f3dcba4a00da511b6bb6fa3c78199771ec","62.496041145914880755","No"
"0xd6872559c10945ac77ded6e0e8a745173733d3bf","62.302676762532320122","No"
"0x60b28d601bc403b968acc930479ed639ee3f6eb6","61.456578739714737888","No"
"0x0ced32b3593cf725c3cdca1d1f98f9ada4b8ac4b","56.258838483481416294","No"
"0xa3c37ce9c82d1da1556ac74230cc2607e83e1cdc","55.798713325746951011","No"
"0x8b3a85b206b65bf6b5175dbaaecb7919993c3907","55.756843355767651149","No"
"0x4ee2acf64a2c0db6a1da0a4b534b08f036d0da41","55.485294117366807764","No"
"0xdd73d1c21e31a92097813d84fb7894ce10b5ded5","54.705193059317649627","No"
"0x13fcd1d9f53e4a99e23e4f0ba148d5f0ab36732d","53.784040099562919034","No"
"0xbb9a742df9eb1dd63860f456f782a8d9bc6f6082","51.062673417670311334","No"
"0xe6ade88281cd978600d3b244f4b4c64a91abd198","49.850187407921546864","No"
"0xeafbfc76e54fbad22e3314008cc1b0d4fa8c1691","49.820279755131206261","No"
"0x60aea90f2aebb4fbfc82ac31f2e4a748d414ca77","49.396800459691937686","No"
"0xa74a461a963adc00a9d2b0e3c9e624ed457d36c4","49.277497771255002795","No"
"0xaa02d3d0c32ee3222ce9762d02747bfaf5119c4b","49.079766250355602041","No"
"0x2de9468a7f93f8bb338c268cc0905966f64be478","48.310090816511849159","No"
"0x6c912eeea82ea00d193065d0b154f4b3511935fc","47.948872657791689731","No"
"0x146ddf707823387c0e764a719c9863624b86e749","47.381489277784605174","No"
"0xa7f13bc6f165a61ed8dde71cadea761540035aa6","46.96267313146151421","No"
"0x2cdf2c970cfb4efc48cd22a8e61ff77a2bbe948d","46.63178185080280906","No"
"0x0d1d6d6c9cd4a40b2d97fd2fccbeecb3426e42fb","45.713145214195147199","No"
"0x242d7f4710666d8625bb8d836f7972856a72562b","44.756153937015200024","No"
"0x503514046121103d66337a867e23c19be8617b30","44.620309978001954694","No"
"0xd46c4edaae2067f5888f62f7b72118926296d859","43.640661930808290674","No"
"0xabd2f650be7ee3542088d10b6bec1353bc3d790d","42.524640998411718051","No"
"0xac9a41d5fae855415591707ffec4db5dc16c8643","42.516626743028971423","No"
"0xcafb353190611a012092bdc8cfaf9eb6d4d179cf","42.363241092666541972","No"
"0xebbda1c220363e0e15414bb5b6670f3888e547ef","42.109792497784024484","No"
"0xa736d694e54d87c7d60ee9a840c73494d4893a26","41.955366307896286774","No"
"0x5b7a174d6e07dbf356bd547b809759f89672c657","41.702415658400254229","No"
"0x9835d944bf87061bc3b7457afe0ad32d826d118b","39.81634764221991752","No"
"0xa6ea7a5a7ef16d22bcd55534c5e890d779be7b43","39.350019854671418167","No"
"0x1278bd1dd6be20abc29bf7f20a99ce5519387156","39.083185656477450886","No"
"0xbe329b80d2491c3a0e2a631734397d401253e0dd","37.971122635411653247","No"
"0x7eac56933bdde9125e7d20f17edb6fe3a831c563","37.882968190888190585","No"
"0xcf57ec8b12a8a1ef149d4d95b7ec4743ba054483","37.56864216255975","No"
"0xc96cbdf04f25fb7d4a32f63c7feed1c467754d95","37.48873013456175","No"
"0x83fd8667a3fcb24fc4eeb266e0f88b6f40ae4923","36.9408332926004625","No"
"0x15d0cbd7c08a7d560e3a57ec1b1a7f3fc64bea5f","34.9440314930004375","No"
"0x1cf7fccf87ceabfa832822ff81dad406ab870bed","33.991012822866347702","No"
"0xa9ec1737a9fe2addb34ff441c9a24cea3587b5ed","32.963711549175","No"
"0x65d9dc9c6eceb77ccdc5c99ca634390e0798bee1","31.733274039333577302","No"
"0x75af8ef8030d699ac76dbc15d5d58b6d3a17809b","31.68794855086197587","No"
"0x614ce31c5d22d768b91d7610d33934ee18540470","31.310141998204607939","No"
"0x84065bcdec65077833b237c17a1e86846df04edf","30.944931696846988432","No"
"0xafae0d357777d8865f066bc727aed785700dc5d1","30.526397043242672395","No"
"0xe8906fccc707743c562a1633ee9750f206a66700","30.454678916716090667","No"
"0x6420640fedfe78cd7cb8006a63ba3337847c7332","30.45122744390038125","No"
"0xd73c4db5d594125edbdc25b8aa01e76564d3da92","29.42954090929161873","No"
"0x13a6d208b3d45960ca6853a9cb8e9c7ed61e6ad9","28.66086359250345","No"
"0xf8b196b3b4811aacea7c5c034568fcc7b0f5bbe9","28.2955365117033089","No"
"0xc02bfc8c96477d82ae78d3212b802c4bfc820f90","26.9973","No"
"0x1b32da8873b9a8d18d2ef35809665bcb79f9bef1","26.091503875421064604","No"
"0x668ba7424babb122e9c3e1cb9d14898e4a8be45a","25.994254394154848699","No"
"0xb2746d60a3a460869024fa8fc89cc1bf965f3dfe","25.4605156938","No"
"0xeacebecc08d03ab4d0cfc8a4b0432f5699b0fecb","25.437456","No"
"0xefbfe77ff0ad412f31815da146ea7ce55ada7507","25.424096004756174084","No"
"0x4b28cda36a2d776ce076628439a01a3b920484dd","25.087491","No"
"0xcca4becd136f077009c6fbdfd5d10f629574ecd0","25.061025664336808263","No"
"0x88f7c81f8103dcb19abc31b0e42d972911498ba3","25.033441634415773868","No"
"0xc0012d85a62d1962f11afb583d8f2b8d36af1e3d","25.000821302175659985","No"
"0x9bc3607175f5d7811cc3366a4521a95fb9f858ea","24.9975","No"
"0x3a6d0024696aa910c7e5d751549ba650bc0b8c98","24.9975","No"
"0xab678f87ce9d6964744f3f45a4bd52c90aa7ff24","24.887511","No"
"0xa9d91181f4eeb40dfceebce3b95bb477aba93105","24.309438813","No"
"0x711ab524d5b6074c1dcd324832efd12e751a9d49","23.703666324681324585","No"
"0x38061ca20b8edd121736139f0685c8ea9a9e6ecd","22.687731","No"
"0x14fc9f64d0b02635840c0ff076f7bbcc8e9376d6","22.017798","No"
"0xcd0d83d9e840f8e27d5c2e365fd365ff1c05b248","21.782268722264847828","No"
"0x984ae05d9769255b4cb356d9f84212bf7bb1537c","21.703150062942126679","No"
"0xf06aca5f05ffa9bd0d080f40c4b62c36a607c3c7","21.59784","No"
"0xc0855f464261832aa43f1d9d9e1cc2aceef7c54b","21.485228402873547538","No"
"0x6af14adaa395f010d21c04fad9e4c3f214dc6353","21.037896","No"
"0x5e5fbec7afcc5a961ae3a4ee9f19ba78c9da9d0e","20.787921","No"
"0x3946de061e990be7bfecb9d540793eabaf18a44b","20.5292318715","No"
"0x52f761a82fe381f539881786c34686fa12620c9b","20.075046782996341521","No"
"0x8b3bead17c5a83704e02accc71c6d559ae5a8f30","19.960432323152222185","No"
"0xd4cd4284a744a693d494a10b7600ff03dd4569c4","19.938006","No"
"0x85ff34ccdd3cb36a4553d57009371be35eb72870","19.455806498611913615","No"
"0xa73eb1de91eb7c7a75cfa4796aefbd8d53fb9275","18.9981","No"
"0x4f3158dd64fafb5bc1471359bb15bf7528996b5b","18.83775210469940056","No"
"0x4db79d7a4fa66bb8bb0b6014712768f5fb1778a3","18.7006027527","No"
"0x95cb5cfecf30cc522fbb360dd6afc22f6d5123f8","18.660892724099998001","No"
"0x45660e0905536f0ca635f551e11474a6b2af8ce0","18.380361296052650383","No"
"0x1ccf73a8edbc7dc3063af94fdc3d4e37f7251ee9","18.3506277537","No"
"0x1505033412a602e8f27d2ee8f3431551bb27cb7a","18.209068911","No"
"0x4ef6cb4fb44724eb8d8f1801d93479ab9cabef69","18.02780672453145","No"
"0x5187a6290f251de6bdf9159af9c37cd4ac280788","17.780426229555","No"
"0x62ddc6d522531b3be598b5cd8aa4748d0adaedb1","17.752663402410159257","No"
"0x2852a6b37b25db0dc16391562a69a7ffaec845c0","17.669392884","No"
"0x31ba7fbb25b37fc0dd2ebf1aaa8e4058ba801009","17.49125","No"
"0x2b0ddfe2b81c98856bcc28a5f024a23c5d663d86","17.4589159338","No"
"0x2fd9d1c53e5ab922af9f203ca2758bc661cf9b1d","16.807874492062559636","No"
"0xfee798db313617b2497a1518de1e6f4a86a15532","16.2977070663","No"
"0x808f3d20ac3b9517e30a4f2f924b90e017e9a027","16.276477909428","No"
"0x1467627cc8a1bb70b6e9c60620221377ce5b7eb7","16.167563141841598886","No"
"0x501f4860aad23ffa53992dca8316952e374eaeab","16.061365813883579807","No"
"0xd3c8da6139835d53c4030c119ed115ce07f51317","15.898349995714273955","No"
"0xd777dadc4302574b8db41fe58b1d9063c604bb4f","15.8782841047908","No"
"0x48ee2de00c4c9f8c46780dce8ef720bd0c3e7dcf","15.865841292132323216","No"
"0x63c772fdcf943aa9a6925a66567db3cf91d792b4","15.85254855410325","No"
"0xb45992ac3b561361bc00a5f0649fafc267ce5428","15.82148684757410761","No"
"0xa2759cfac149b5e55268629626b24062dba8dcef","15.295544018716408066","No"
"0xcc5ea2dce90adc97b4ea7f3e01b6cbe51a7de472","15.2628145659","No"
"0xaf4b3c3a82f42e2227e5d80f4efcce729370d6ce","13.910705829495014804","No"
"0x7009bc91de9b31d3de16d884bd51d7d578ec20aa","13.656931345101916866","No"
"0x12a51944e8349b8e70ed8e2d9bfbc88adb4a8f4e","13.62675377551669108","No"
"0xa62c54ba5b2b5aa58f888c54f4d7da3d637a88bf","13.41370261808775","No"
"0x69289086a5dbbf38058c9d1a54b4d336f56fe5ee","13.0855945846725","No"
"0x2d3d13b3e5d82b88419b8635ebd1e1efebb06f00","13.061407783584418472","No"
"0x692f6816c0903ea0e122ac5dc1ef14027d028278","12.954113188394799259","No"
"0x96cf0850929c9668f3ab861acddb33e78f51a2b4","12.790280895520524688","No"
"0x46cc421c71dcf88aa01cf87da21552d7f0333afe","12.752344638","No"
"0x1dd4bc24869bf9e39f1ea1a6d8d078c8c3a9530e","12.51304529182785","No"
"0x670f6f654925e7ff465f10816928cceb13436ef6","11.5230825765","No"
"0xcc0d56c6cdc2677343ddc7ae63ba801334869051","11.111115911148375994","No"
"0xe07825a841748b421eac8d9b1c8858b7bfee0af6","11.01638675115","No"
"0x0fe7452d32f566e138346df242cd76c59bf810d8","10.6835865345","No"
"0x4a263388fe86383a8933df1ad46cbd18a163b395","10.4477521203","No"
"0x55cd88d3a304cde260e2c11e791bb85a3505bc84","10.304008046157052115","No"
"0x0b41078fe96ad555b13eed39f30d2c7d264fdaf5","10.22985145620341097","No"
"0x6e4a03af9ff60e7a37d10faac9f37fde8e62db5c","10.228977","No"
"0xe8ced06ee44ee35ce985c76ad1b095c6978a653f","10.180947106303860602","No"
"0x95ef79f19dea10f94f18e22fe9621ea1bb25198c","10.049314621941815364","No"
"0x159c143ef5a519d79ca308cf33b25684ee8b5395","10.0314337563","No"
"0xe20203d03cfaaea1dc157ff727d27db331851ded","10.020743329587486478","No"
"0xa7fc0008afb4f7b7cfba98b4f26d8021270406f4","10.0132025796","No"
"0x87153c509cb9e7da3b1c61912d06366dd04bfe71","9.999","No"
"0x440bd537745701bdb7726c5c31a8526423941814","9.989001","No"
"0x0a352179a107122943f6e0d6d09638acccdb7fa5","9.659901161143087493","No"
"0xdadcd1378e2cd0983cc5e61caf0e9e161aff4b6b","9.613132020383979735","No"
"0xf8a08b66ecbd0fbc39a4f2e67f8483372905d5d2","9.534955902793974616","No"
"0x60a43b39f7cb8a1f12fcdebf6e0d7b939b05e67a","9.3079602967609821","No"
"0x0da5f7aa948275245db81eea25d092f67cbe5937","9.201153926029571528","No"
"0xa2b8383a0a31e0cf1f20be582535742d8dea1d4d","8.9991","No"
"0x6bed4d3195aa2ca38bf3a88eafa0ad2b6c17973d","8.904433628621703637","No"
"0xf6af27d1dea25f6e3838d10eb4a37ddd5209507a","8.7347384388","No"
"0x813df9e9496063e17357318d69dae274558d13c9","8.651430691337993775","No"
"0x602dc1d22884e333fca32eb03105773c3b97b22b","8.567034300689239628","No"
"0x887f5fcc026fbb74d08853634befbd6d094f099d","8.421532080399750072","No"
"0xe829e94109fed6e41585b75a12948bad50cbaa12","8.3151713997","No"
"0xee468ccf66d52154caa3b512a33bf1dc47d96f72","8.242115602088126272","No"
"0x1a5eb732271f84d55cb385b796ddac39c84ccdaa","8.236968994120593197","No"
"0x2fa7dedc227cfdaaed1acd78501a9604ab501e39","7.808851655604293977","No"
"0x0534c4185ad25e43d4cbe5bae10112824d79cab2","7.752994973719691184","No"
"0xb2f58ad9acd976cbba8f17362f1ae732da8ce56c","7.715332347974646392","No"
"0x294bb51db47778cf06eb9590efc554c89e4ddf4b","7.669233","No"
"0x6f0ed646fa4081c424111a7dc8206fe176ae05d7","7.170240875172313255","No"
"0xae12143d7e23f950dc3a031e0f251e0e9a9672ab","7.164545494809434835","No"
"0xc263b094db9cd027cb3176bc0decc96fd839c35e","7.078610936947281072","No"
"0xb2dae2b045aa0787d6f330de1e29bea49fff306f","7.015992583643041754","No"
"0x6d1b0721a5564e0e6984aa74165979771ed00521","6.94105879956320642","No"
"0xd193574c3ddbb19440c857716a66ac116cb6b006","6.820281600530110337","No"
"0xe5fe4412f281c21384439f60f3aba18ff334984f","6.710438921892863364","No"
"0x52cf1881fdd2088e6c9a5aaab3ac7f6ab1d841dd","6.614472400558928238","No"
"0xde6d59a1bac947ca7d320859c8354b42d521cc87","6.486155","No"
"0xb618b47b564d49512c1b2fbe71f53ac012c9db8a","6.43","No"
"0x3bb3384e2dbd32bb1f090604002a66838471d893","6.325789037982420697","No"
"0xb73efeb2ef6f4a5cc5d38109be9594aae01f5043","6","No"
"0x3b8f18047e5f67567bbe7c682327fd372bbaee5c","5.989622607385347305","No"
"0x9c460f9f472805f8ca3d6f72df3f8e2d804bc78b","5.827272065003032231","No"
"0xf94262a58388268079ff33d11c0c3d62045dee7c","5.79942","No"
"0xf49da06ab5ece9754b2dac760b8dabe3c605ae15","5.749046","No"
"0x6e219b249469ec722db7cf3c323d8c24cffb849c","5.713447602044555406","No"
"0xa6534b16302c8c8c252fc9b9a1666e5d887428dc","5.626747","No"
"0xd92ff6a4d178e0b4060ade7a69f73c1b3c1dc3f8","5.51","No"
"0xedd41a43e2fff8a9cd6a2d0b6000d97ddb72be6f","5.349299","No"
"0xfa4571bcba2bfdd82cc45d37b8163d2b29a6c9c5","5.111327299404998789","No"
"0xeabffa04256eb2eebeaf8753f2a97288a28dbf40","5.012291139334240575","No"
"0x4f266f295bad85436ecea51e0ae2afe82b11553b","5","No"
"0x5b4e866bba2f552193abdd444f582f0808a91392","4.91","No"
"0xd35d998022f90672a7382d3dcba045c5334cd2fa","4.722176567269780527","No"
"0x9e02bb2bbc1a05a1d4febd1f52adb40564876e7c","4.70206","No"
"0xfb20b1d8f046f1fcd52d3977061b725d428a13b3","4.694224104586274411","No"
"0xc9c586895d77102c8e7ab95a92685bd43ce039e0","4.6800989433","No"
"0xdd4b82486b606d70de0a1ad1a5446dd724fc793a","4.648720375536625565","No"
